pid	doc_raw	doc	score
2790711	"<p>This is the Holder's inequality for <span class=""math-container"" id=""25750767"">q=1</span> and <span class=""math-container"" id=""25750768"">p=\infty</span> i.e. </p>  <p>\begin{align*} \|v u\|_2 &amp;=\sqrt{\|v^2 u^2 \|_1}\\ &amp;\leq    \sqrt{\| v^2\|_\infty}\sqrt{ \| u^2\|_1}\\ &amp;=\|v\|_\infty \|u\|_2 \end{align*} And for the proof someone can see Martin's answer.</p>  <p>In certain cases the previous version of Holder's can be, easily, derived from the more popular one, i.e. when <span class=""math-container"" id=""25750769"">1&lt;p,q&lt;\infty</span>.  Indeeed,  <span class=""math-container"" id=""25750770""> \int v^2 u^2 dx \leq \sqrt[p]{\int v^{2p}}  \sqrt[q]{\int u^{2q}}   </span></p>  <p>For <span class=""math-container"" id=""25750771"">\frac{1}{q}+\frac{1}{p}=1</span>. When <span class=""math-container"" id=""25750772""> q\longrightarrow 1</span> then <span class=""math-container"" id=""25750773"">p\longrightarrow \infty</span>.</p>  <p>Someone can argue, in certain cases, that <span class=""math-container"" id=""25750774"">\sqrt[p]{\int v^{2p}}\longrightarrow \| u\|^2 _\infty</span>. </p>  <p>Again, under certain conditions, it can be shown that <span class=""math-container"" id=""25750775"">\int u^{2q} \rightarrow \int u^2  </span>.</p> "	This is the Holder's inequality for  q=1  and  p=\infty  i.e.     \begin{align*} \|v u\|_2 &=\sqrt{\|v^2 u^2 \|_1}\\ &\leq    \sqrt{\| v^2\|_\infty}\sqrt{ \| u^2\|_1}\\ &=\|v\|_\infty \|u\|_2 \end{align*} And for the proof someone can see Martin's answer.    In certain cases the previous version of Holder's can be, easily, derived from the more popular one, i.e. when  1	0.9680376052856445
1594927	"<p>Let <span class=""math-container"" id=""14738762"">A</span> be some <span class=""math-container"" id=""14738763"">m \times n</span> real matrix. Let <span class=""math-container"" id=""14738764"">\|A\|_1</span> be the <em>maximim absolute column sum norm</em>, <span class=""math-container"" id=""14738765"">\|A \|_\infty</span> be the <em>maximim absolute row sum norm</em> and <span class=""math-container"" id=""14738766"">\|A \|_2 = \sigma_{\max}</span> be the <em>2-norm</em> or <em>spectral norm</em> (<span class=""math-container"" id=""14738767"">\sigma_{\max}</span> is the maximum singular value). We have the following fundamental inequalities: <span class=""math-container"" id=""14738768"">(i) \quad \frac{1}{\sqrt{n}} \|A \|_\infty \leq \|A \|_2 \leq \sqrt{m} \|A \|_\infty</span> <span class=""math-container"" id=""14738769"">(ii) \quad \frac{1}{\sqrt{m}} \|A \|_1 \leq \|A \|_2 \leq \sqrt{n} \|A \|_1</span> <span class=""math-container"" id=""14738770""> \|A \|_2 \leq \sqrt{\|A \|_1 \|A \|_\infty} \quad (\text{some kind of Hölder's inequality})</span>.</p>  <p>So we see that if you impose additionally that also <span class=""math-container"" id=""14738771"">\|A \|_\infty \leq 1</span> (i.e. row sum is also small) then your assertion holds.</p>  <p>However it's easy to construct (quadratic) matrices with small column sum but big row sum (and vice versa). And inequality <span class=""math-container"" id=""14738772"">(i)</span> (or <span class=""math-container"" id=""14738773"">(ii)</span> whatever you are starting with) forces the largest singular value to be big. More precisely the following matrix <span class=""math-container"" id=""14738774""> \begin{pmatrix} 0.99 &amp; 0.99 &amp; 0.99\\ 0 &amp; 0 &amp; 0\\ 0 &amp; 0 &amp; 0\\ \end{pmatrix} </span> fulfilles your condition but has singular value <span class=""math-container"" id=""14738775"">1.71473</span>.</p> "	Let  A  be some  m \times n  real matrix. Let  \|A\|_1  be the  maximim absolute column sum norm ,  \|A \|_\infty  be the  maximim absolute row sum norm  and  \|A \|_2 = \sigma_{\max}  be the  2-norm  or  spectral norm  ( \sigma_{\max}  is the maximum singular value). We have the following fundamental inequalities:  (i) \quad \frac{1}{\sqrt{n}} \|A \|_\infty \leq \|A \|_2 \leq \sqrt{m} \|A \|_\infty   (ii) \quad \frac{1}{\sqrt{m}} \|A \|_1 \leq \|A \|_2 \leq \sqrt{n} \|A \|_1    \|A \|_2 \leq \sqrt{\|A \|_1 \|A \|_\infty} \quad (\text{some kind of Hölder's inequality}) .    So we see that if you impose additionally that also  \|A \|_\infty \leq 1  (i.e. row sum is also small) then your assertion holds.    However it's easy to construct (quadratic) matrices with small column sum but big row sum (and vice versa). And inequality  (i)  (or  (ii)  whatever you are starting with) forces the largest singular value to be big. More precisely the following matrix   \begin{pmatrix} 0.99 & 0.99 & 0.99\\ 0 & 0 & 0\\ 0 & 0 & 0\\ \end{pmatrix}   fulfilles your condition but has singular value  1.71473 .  	0.9676823616027832
504772	"<p>Not true for the spectral norm you use. Simple example: <span class=""math-container"" id=""5285641""> A = \begin{bmatrix}1 &amp; 1 \\ -1 &amp; 1\end{bmatrix}, \quad \tilde{A} = \begin{bmatrix}1 &amp; 1 \\ 0 &amp; 1\end{bmatrix}, </span> <span class=""math-container"" id=""5285642""> \|A\|_2 = \sqrt{2}\approx 1.4142, \qquad  \|\tilde{A}\|_2 = \sqrt{\frac{\sqrt{5}+3}{2}}\approx 1.6180. </span> On the other hand, zeroing out entries of <span class=""math-container"" id=""5285643"">A</span> to get <span class=""math-container"" id=""5285644"">\tilde{A}</span> can give:</p>  <ul> <li><p>strict inequality for the Frobenius norm (2-norm of the vector of the singular values): <span class=""math-container"" id=""5285645"">\|\tilde{A}\|_F &lt; \|A\|_F</span>,</p></li> <li><p>non-strict inequalities for some other norms, e.g.: <span class=""math-container"" id=""5285646"">\|\tilde{A}\|_{\star} \leq \|A\|_{\star}</span>, where <span class=""math-container"" id=""5285647"">\star = 1,\infty</span> (usual matrix <span class=""math-container"" id=""5285648"">p</span>-norms) or <span class=""math-container"" id=""5285649"">\star=M</span>, where <span class=""math-container"" id=""5285650"">\|A\|_M=\max_{i,j}|a_{ij}|</span>.</p></li> </ul> "	Not true for the spectral norm you use. Simple example:   A = \begin{bmatrix}1 & 1 \\ -1 & 1\end{bmatrix}, \quad \tilde{A} = \begin{bmatrix}1 & 1 \\ 0 & 1\end{bmatrix},     \|A\|_2 = \sqrt{2}\approx 1.4142, \qquad  \|\tilde{A}\|_2 = \sqrt{\frac{\sqrt{5}+3}{2}}\approx 1.6180.   On the other hand, zeroing out entries of  A  to get  \tilde{A}  can give:      strict inequality for the Frobenius norm (2-norm of the vector of the singular values):  \|\tilde{A}\|_F < \|A\|_F ,   non-strict inequalities for some other norms, e.g.:  \|\tilde{A}\|_{\star} \leq \|A\|_{\star} , where  \star = 1,\infty  (usual matrix  p -norms) or  \star=M , where  \|A\|_M=\max_{i,j}|a_{ij}| .    	0.967046856880188
2408986	"<p><span class=""math-container"" id=""22303135"">A\in\mathbb{R}^{n\times n}</span>, symmetric and <span class=""math-container"" id=""22303136"">e:=[1, 1, \ldots, 1]^{\top}</span>. Now,</p>  <p>\begin{equation} e^{\top}Ae=\sum_{i,j}A_{i,j}=:c \end{equation}</p>  <p>and,</p>  <p>\begin{align} Aee^{\top}A=\alpha\alpha^{\top} \end{align}</p>  <p>where <span class=""math-container"" id=""22303137"">\alpha:=Ae</span> denotes the vector of row (or column) sums of <span class=""math-container"" id=""22303138"">A</span>.</p>  <p>So,</p>  <p>\begin{equation} \|A-\frac{1}{e^{\top}Ae}Aee^{\top}A\|_{F}=\|A-c\alpha\alpha^{\top}\|_{F} \end{equation}</p>  <p>One way to proceed can be to apply triangle inequality. For that, note that for a rank-1 symmetric matrix <span class=""math-container"" id=""22303139"">xx^{\top}</span>, <span class=""math-container"" id=""22303140"">\|xx^{\top}\|_{F}=\|x\|_{2}^{2}</span>. This is because for any matrix, the Frobenius norm is the <span class=""math-container"" id=""22303141"">2</span>-norm of the vector of singular values, and <span class=""math-container"" id=""22303142"">xx^{\top}</span> has just one non-zero eigenvalue, namely, <span class=""math-container"" id=""22303143"">\|x\|_{2}^{2}</span>. This gives</p>  <p>\begin{equation} \|A-\frac{1}{e^{\top}Ae}Aee^{\top}A\|_{F}\le \|A\|_{F}+\frac{1}{c}\|\alpha\|_{2}^{2}. \end{equation}</p>  <p>Is this the kind of characterization you are looking for?</p> "	A\in\mathbb{R}^{n\times n} , symmetric and  e:=[1, 1, \ldots, 1]^{\top} . Now,    \begin{equation} e^{\top}Ae=\sum_{i,j}A_{i,j}=:c \end{equation}    and,    \begin{align} Aee^{\top}A=\alpha\alpha^{\top} \end{align}    where  \alpha:=Ae  denotes the vector of row (or column) sums of  A .    So,    \begin{equation} \|A-\frac{1}{e^{\top}Ae}Aee^{\top}A\|_{F}=\|A-c\alpha\alpha^{\top}\|_{F} \end{equation}    One way to proceed can be to apply triangle inequality. For that, note that for a rank-1 symmetric matrix  xx^{\top} ,  \|xx^{\top}\|_{F}=\|x\|_{2}^{2} . This is because for any matrix, the Frobenius norm is the  2 -norm of the vector of singular values, and  xx^{\top}  has just one non-zero eigenvalue, namely,  \|x\|_{2}^{2} . This gives    \begin{equation} \|A-\frac{1}{e^{\top}Ae}Aee^{\top}A\|_{F}\le \|A\|_{F}+\frac{1}{c}\|\alpha\|_{2}^{2}. \end{equation}    Is this the kind of characterization you are looking for?  	0.96689772605896
1853806	"<p>Yes; apply Holder's inequality (you can also use Jensen if you like): \begin{align*} \|f\|_{L^p}=\|f\cdot1\|_{L^p}\leq\|f\|_{L^q}\|1\|_{1/(1/p-1/q)}=\|f\|_{L^q}\mu(X)^{1/(1/p-1/q)}\leq\|f\|_{L^q} \end{align*} since we assumed <span class=""math-container"" id=""17160207"">\mu(X)&lt;1</span>, and <span class=""math-container"" id=""17160208"">1/(1/p-1/q)\geq0</span> from <span class=""math-container"" id=""17160209"">p\leq q</span>.</p>  <p><strong>Edit:</strong> Please note I used a slightly generalized version of the Holder inequality for the case where a product is being estimated in <span class=""math-container"" id=""17160210"">L^p</span> for <span class=""math-container"" id=""17160211"">p</span> not necessarily <span class=""math-container"" id=""17160212"">1</span>. This is described <a href=""https://math.stackexchange.com/questions/159887/generalized-h%C3%B6lder-inequality"">here</a>.</p> "	Yes; apply Holder's inequality (you can also use Jensen if you like): \begin{align*} \|f\|_{L^p}=\|f\cdot1\|_{L^p}\leq\|f\|_{L^q}\|1\|_{1/(1/p-1/q)}=\|f\|_{L^q}\mu(X)^{1/(1/p-1/q)}\leq\|f\|_{L^q} \end{align*} since we assumed  \mu(X)<1 , and  1/(1/p-1/q)\geq0  from  p\leq q .    Edit:  Please note I used a slightly generalized version of the Holder inequality for the case where a product is being estimated in  L^p  for  p  not necessarily  1 . This is described  here .  	0.9667444825172424
2425957	"<p>I'm posting this as an answer, since it doesn't fit in a comment, and seems to be pretty darn close to what is required.</p>  <p>I get the following bound: \begin{align} \|f-g\|_p^p  &amp;= \| |f-g|^p \|_1 \\  &amp;\le \| |f-g| |f-g|^{p-1} \| \\  &amp;= \| f-g \|_2 \| |f-g|^{p-1} \|_2 \tag{by Hölder} \\  &amp;= \|f-g\|_2 \left( \int |f-g|^{2p-2} \right)^{\frac{1}{2}} \\  &amp;\le \|f-g\|_2 \left( \int (|f|-|g|)^{2p-2} \right)^{\frac{1}{2}} \tag{triangle inequality} \\  &amp;\le \|f-g\|_2 \left( \int (2C)^{2p-2} \right)^{\frac{1}{2}} \\  &amp;= (2C)^{p-1} \sqrt{\mu(X)} \|f-g\|_2 \end{align} This differs from the desired bound in three ways:  (1) the exponent on <span class=""math-container"" id=""22467836"">C</span> is <span class=""math-container"" id=""22467837"">p-1</span>, not <span class=""math-container"" id=""22467838"">p-2</span> (this could be a clerical error on my part), (2) the extra 2 in the constant, and (3) it appears to me that the inequality also depends on the measure of the space.</p> "	I'm posting this as an answer, since it doesn't fit in a comment, and seems to be pretty darn close to what is required.    I get the following bound: \begin{align} \|f-g\|_p^p  &= \| |f-g|^p \|_1 \\  &\le \| |f-g| |f-g|^{p-1} \| \\  &= \| f-g \|_2 \| |f-g|^{p-1} \|_2 \tag{by Hölder} \\  &= \|f-g\|_2 \left( \int |f-g|^{2p-2} \right)^{\frac{1}{2}} \\  &\le \|f-g\|_2 \left( \int (|f|-|g|)^{2p-2} \right)^{\frac{1}{2}} \tag{triangle inequality} \\  &\le \|f-g\|_2 \left( \int (2C)^{2p-2} \right)^{\frac{1}{2}} \\  &= (2C)^{p-1} \sqrt{\mu(X)} \|f-g\|_2 \end{align} This differs from the desired bound in three ways:  (1) the exponent on  C  is  p-1 , not  p-2  (this could be a clerical error on my part), (2) the extra 2 in the constant, and (3) it appears to me that the inequality also depends on the measure of the space.  	0.9645787477493286
191021	"<p>I give it a try with your first question: If <span class=""math-container"" id=""2216498"">A\in\mathbb{R}^{m\times n}</span> then <span class=""math-container"" id=""2216499"">\frac{1}{\sqrt{n}}\|A\|_\infty\leq \|A\|_2\leq \sqrt{m}\|A\|_\infty</span> <span class=""math-container"" id=""2216500"">\frac{1}{\sqrt{m}}\|A\|_1\leq \|A\|_2\leq \sqrt{n}\|A\|_1</span></p>  <p>Also <span class=""math-container"" id=""2216501"">\|AB\|_a\leq \|A\|_a\|B\|_a</span></p>  <p>Note that <span class=""math-container"" id=""2216502"">\|B_i\|_2&lt;1</span> implies that absolute value of the every element of matrix B is less than 1, <span class=""math-container"" id=""2216503"">|B_{ij}|&lt;1</span>, then <span class=""math-container"" id=""2216504"">\|B\|_\infty&lt;n</span> (infinity norm of a matrix is the maximum absolute row sum of the matrix). And with the same argument <span class=""math-container"" id=""2216505"">\|B\|_1&lt;m</span>.</p>  <p>Then using these properties we have <span class=""math-container"" id=""2216506"">\|vA^TB\|_\infty\leq \sqrt{n}\|vA^TB\|_2\leq \sqrt{n} \|vA^T\|_2\|B\|_2\leq \sqrt{nm} \|vA^T\|_2\|B\|_\infty\leq n\sqrt{nm} \|vA^T\|_2</span> or <span class=""math-container"" id=""2216507"">\|vA^TB\|_\infty\leq \sqrt{n}\|vA^TB\|_2\leq \sqrt{n} \|vA^T\|_2\|B\|_2\leq n \|vA^T\|_2\|B\|_1\leq nm \|vA^T\|_2</span> (these are conservative bounds you can probably obtain a tighter bound)</p> "	I give it a try with your first question: If  A\in\mathbb{R}^{m\times n}  then  \frac{1}{\sqrt{n}}\|A\|_\infty\leq \|A\|_2\leq \sqrt{m}\|A\|_\infty   \frac{1}{\sqrt{m}}\|A\|_1\leq \|A\|_2\leq \sqrt{n}\|A\|_1    Also  \|AB\|_a\leq \|A\|_a\|B\|_a    Note that  \|B_i\|_2<1  implies that absolute value of the every element of matrix B is less than 1,  |B_{ij}|<1 , then  \|B\|_\infty	0.964419960975647
993200	"<p>If there is an <span class=""math-container"" id=""9450795"">\alpha</span> such that for any nonzero <span class=""math-container"" id=""9450796"">x</span>, <span class=""math-container"" id=""9450797"">\|Ax\|_2\leq\alpha\|x\|_2</span>, then by the definition of the operator 2-norm, <span class=""math-container"" id=""9450798""> \|A\|_2=\max_{x\neq 0}\frac{\|Ax\|_2}{\|x\|_2}\leq\alpha. </span> In your case, <span class=""math-container"" id=""9450799"">\alpha=\|u\|_2\|v\|_2</span>. Note that actually for <span class=""math-container"" id=""9450800"">A=uv^*</span>, we have the equality: <span class=""math-container"" id=""9450801"">\|A\|_2=\|u\|_2\|v\|_2</span>. It is easy to see this by realizing for what vectors the Cauchy-Schwarz inequality gives the equality: <span class=""math-container"" id=""9450802""> \|Ax\|_2=\|uv^*x\|_2=\underbrace{\|u\|_2\color{red}{|v^*x|}\leq\|u\|_2\color{red}{\|v\|_2\|x\|_2}}_{\text{Cauchy-Schwarz}}. </span> The equality is attained for <span class=""math-container"" id=""9450803"">x</span> proportional to <span class=""math-container"" id=""9450804"">v</span>.</p> "	If there is an  \alpha  such that for any nonzero  x ,  \|Ax\|_2\leq\alpha\|x\|_2 , then by the definition of the operator 2-norm,   \|A\|_2=\max_{x\neq 0}\frac{\|Ax\|_2}{\|x\|_2}\leq\alpha.   In your case,  \alpha=\|u\|_2\|v\|_2 . Note that actually for  A=uv^* , we have the equality:  \|A\|_2=\|u\|_2\|v\|_2 . It is easy to see this by realizing for what vectors the Cauchy-Schwarz inequality gives the equality:   \|Ax\|_2=\|uv^*x\|_2=\underbrace{\|u\|_2\color{red}{|v^*x|}\leq\|u\|_2\color{red}{\|v\|_2\|x\|_2}}_{\text{Cauchy-Schwarz}}.   The equality is attained for  x  proportional to  v .  	0.9643555879592896
1317223	"<p><strong>Partial results:</strong></p>  <p>We define <span class=""math-container"" id=""12241459""> \DeclareMathOperator{\tr}{trace} \|A\|_1 = 1'|A|1 = \sum_{i,j}|a_{ij}|\\ \|A\|_2 = \sqrt{\tr(A'A)} = \sqrt{\sum_{i,j}|a_{ij}|^2} </span> <a href=""http://en.wikipedia.org/wiki/Matrix_norm#.22Entrywise.22_norms"" rel=""nofollow"">These are</a> the entrywise <span class=""math-container"" id=""12241460"">1</span>-norm and entrywise <span class=""math-container"" id=""12241461"">2</span>-norm (AKA Frobenius norm) respectively.  Both are submultiplicative matrix norms.</p>  <p>We note that for any matrix <span class=""math-container"" id=""12241462"">A</span>, <span class=""math-container"" id=""12241463""> \|A\|_2 \leq \|A\|_1 \leq n \|A\|_2 </span> By the information given, we note that <span class=""math-container"" id=""12241464"">\|A\|_2^2 = \tr(A'A) = o(n)</span>. In particular, this means that <span class=""math-container"" id=""12241465"">\|A\|_2 = o(\sqrt{n})</span>.  Now, because the norms are submultiplicative, we also have <span class=""math-container"" id=""12241466""> \|A^3\|_2 \leq \|A\|_2^3 = o(n^{3/2}) </span> From there, we have <span class=""math-container"" id=""12241467""> 1'A^31 = \|A^3\|_1 \leq n \|A^3\|_2 = o(n^{5/2})=o(n^{2.5}) </span> Which may be the best we can do.</p>  <hr>  <p>The information is <span class=""math-container"" id=""12241468"">1'A1 = O(n)</span> doesn't let us do better directly.  In particular, we have <span class=""math-container"" id=""12241469""> \|A^3\|_1 \leq \|A\|_1^3 = O(n^3) </span></p> "	Partial results:    We define   \DeclareMathOperator{\tr}{trace} \|A\|_1 = 1'|A|1 = \sum_{i,j}|a_{ij}|\\ \|A\|_2 = \sqrt{\tr(A'A)} = \sqrt{\sum_{i,j}|a_{ij}|^2}    These are  the entrywise  1 -norm and entrywise  2 -norm (AKA Frobenius norm) respectively.  Both are submultiplicative matrix norms.    We note that for any matrix  A ,   \|A\|_2 \leq \|A\|_1 \leq n \|A\|_2   By the information given, we note that  \|A\|_2^2 = \tr(A'A) = o(n) . In particular, this means that  \|A\|_2 = o(\sqrt{n}) .  Now, because the norms are submultiplicative, we also have   \|A^3\|_2 \leq \|A\|_2^3 = o(n^{3/2})   From there, we have   1'A^31 = \|A^3\|_1 \leq n \|A^3\|_2 = o(n^{5/2})=o(n^{2.5})   Which may be the best we can do.       The information is  1'A1 = O(n)  doesn't let us do better directly.  In particular, we have   \|A^3\|_1 \leq \|A\|_1^3 = O(n^3)   	0.9642890095710754
930678	"<p>This follows from <a href=""http://en.wikipedia.org/wiki/H%C3%B6lder&#39;s_inequality"" rel=""nofollow"">Hölder's inequality</a>. Letting <span class=""math-container"" id=""8973277"">r</span> denote the Hölder conjugate of <span class=""math-container"" id=""8973278"">\frac{q}{p}</span>, we have <span class=""math-container"" id=""8973279"">\|f\|_p^p = \|f^p\|_1 \leq \|f^p\|_{q/p}\|1\|_r = \|f^p\|_{q/p} = \|f\|_q^p</span> so <span class=""math-container"" id=""8973280"">\|f\|_p \leq \|f\|_q</span>. More generally, if <span class=""math-container"" id=""8973281"">(X, \mathcal{M}, \mu)</span> is a finite measure space, the same proof shows that <span class=""math-container"" id=""8973282"">\|f\|_p \leq \|f\|_q\mu(X)^{\frac{1}{p}-\frac{1}{q}}</span>.</p> "	This follows from  Hölder's inequality . Letting  r  denote the Hölder conjugate of  \frac{q}{p} , we have  \|f\|_p^p = \|f^p\|_1 \leq \|f^p\|_{q/p}\|1\|_r = \|f^p\|_{q/p} = \|f\|_q^p  so  \|f\|_p \leq \|f\|_q . More generally, if  (X, \mathcal{M}, \mu)  is a finite measure space, the same proof shows that  \|f\|_p \leq \|f\|_q\mu(X)^{\frac{1}{p}-\frac{1}{q}} .  	0.9640804529190063
