pid	doc	score
397878	\int x^{2}\ln(x)dx=x^{2}(x\ln(x)-x)-\int 2x^{2}\ln(x)+2\int x^{2}dx    Hence,    3\int x^{2}\ln(x)dx=x^{2}(x\ln(x)-x)+\frac{2}{3}x^{3}+C    so    \int x^{2}\ln(x)dx=\frac{1}{3}x^{2}(x\ln(x)-x)+\frac{2}{9}x^{3}+D=\frac{1}{3}x^{3}\ln(x)-\frac{1}{9}x^{3}+D  	0.9680376052856445
1129924	Indeed the norm in  c_0  is the  |\!|\cdot|\!|_{\infty}  norm. Clearly the norm of your functional is at most  1  because if  (a_j)\in c_0  is an element whose norm is at most  1 , then   \left|\sum_{j=1}^{\infty}\frac{a_j}{2^j}\right|\leq\sum_{j=1}^{\infty}\frac{1}{2^j}=1  to see that the norm is precisely  1 , let  \varepsilon>0 . Choose  N  sufficiently large so that  \sum_{j=1}^N\frac{1}{2^j}>1-\varepsilon . Let  a_0=(a_j)\in c_0  be the element whose first  N  entries are  1  and all the rest are zeros. Then  the norm of  \varphi(a_0)  is greater than  1-\varepsilon . Since  \varepsilon  was arbitrary, this proves that the norm of  \varphi  is not smaller than  1 .  	0.9676823616027832
668234	Neat problem. I don't have a complete solution, but I think a productive area would be to look at the prime factorizations of the numbers and see what happens to the exponents.    (2^2\cdot3^0, 2^1\cdot3^1, 2^0\cdot 3^2)    \to (2^1\cdot3^0, 2^2\cdot 3^1, 2^0\cdot3^2) \to (2^1\cdot3^0, 2^0\cdot3^1, 2^2\cdot 3^2) \to    or    \to(2^2\cdot3^0, 2^0\cdot3^1, 2^1\cdot3^2) \to(2^0\cdot3^0, 2^2\cdot 3^1, 2^1\cdot3^2) \to    (2^0\cdot3^0, 2^1\cdot3^1, 2^2\cdot 3^2)    In the first case the powers of 2 are  (2^2,2^1,2^0) , which get transformed into  (2^1,2^2,2^0)  and then  (2^1,2^0,2^2)  before ending up as  (2^0,2^1,2^2) . In the second case  (2^2,2^1,2^0)  becomes  (2^2,2^0,2^1)  and then  (2^0,2^2,2^1)  before ending up as  (2^0,2^1,2^2) . The exponents appear to be sorting themselves. The same thing happens to the powers of 3, and would happen to the powers of any other primes.    (Sorry this isn't a complete proof, but it looks like it could lead to one.)  	0.967046856880188
254051	I think this helps:  www.youtube.com/watch?v=xO8PZdQOpyg  to calculate  \frac{df}{dv}  if applying the chain rule with:    v=\frac{x+1}{x-1}  and  f=\text{arccot}(v)  and  \frac{df}{dx}=\frac{df}{dv}\frac{dv}{dx}    The calculation of  \frac{dv}{dx}  is left to your exercise.  	0.96689772605896
1234405	Use the binomial distribution. Let  X  be the number of students entering. Then  X\sim B(100,0.04) .    P(X\geq3)=1-P(X\leq2)=1-P(X=0)-P(X=1)-P(X=2)    We have  P(X=0)=0.96^{100}=0.0169   P(X=1)=100\times0.96^{99}\times0.04=0.0703   P(X=2)={{100}\choose{2}}0.96^{98}\times0.04^2=0.1450  Thus  P(X\geq3)=1-0.0169-0.0703-0.1450=0.7678 .  	0.9667444825172424
260956	A basic assumption of propositional logic goes something like that all of the connectives qualify as truth-functional, which in more conventional mathematical terms might get more specifically stated as that all connectives qualify as truth-operational.  This means that if we assign truth variables to any variables, there will exist some value V(a, ..., z) where V indicates a function of propositions.  For your example we have two truth-operations  \lor  such that     \lor (0, 0)=0, and    \lor (0, 1)= \lor (1, 0)= \lor (1, 1)=1.    \lnot (0)=1,  \lnot (1)=0.    You give a value to a symbol  \lor  or  \lnot  by using those functions or something similar.    By no means do you have to set-up truth tables in infix notation.  In infix notation the principle connective jumps all over the place, in the sense that it's position varies from well-formed formula to well-formed formula.  You can set up truth tables by writing all binary operations (those like  \lor  and  \land  which qualify as truth-operations of two truth values) after their arguments.  Or you could set up truth tables by writing all binary operations before their arguments.  With your example you could write:      p  q  ¬  ∨ ¬   p ∨   1  1  0  1  0  1  1   1  0  1  1  0  1  1   0  1  0  0  1  0  1   0  0  1  1  0  0  0     Or       p|  q| q ¬| p q ¬ ∨| p q ¬ ∨ ¬| p q ¬ ∨ ¬   p ∨   1|  1|   0|        1|          0|                1   1|  0|   1|        1|          0|                1   0|  1|   0|        0|          1|                1   0|  0|   1|        1|          0|                0   	0.9645787477493286
1015535	From your computation, the two definition are equivalent apart from a factor of  2 .   	0.9642890095710754
856189	This is not an answer. It's just too long and too illustrated for a comment.    I prefer to do most of my projective geometry over  \mathbb C , so I'll be viewing the problem from this point of view. What does it mean for a point  A  to be a focus of a given conic? It means that the lines joining  A  to the ideal circle points  I=[1:i:0]  and  J=[i:1:0]  are tangents to the conic. So when you are talking about a pair of two confocal conics, then a more general description would be speaking about a pair of conics sharing two tangents. The common focus  A  is the point where these tangents intersect. To make this easier to imagine, for the following picture I drew the points  I  and  J  at real positions. The brown lines are common tangents for the red and the green conic.       As Piquito pointed out, two conics will in general have four points of intersection. In the case of confocal ellipses it might well be that two of them have to be complex. But in the illustration above, all four of them are real.    If you pick the correct pair  P,Q , then the line joining their poles does indeed pass through  A , as you claimed. The same is true for the opposite pair of intersections, namely  R,S . Their poles lie on the same line as those for  P,Q . For other pairs of intersection, however, that is not the case. The other poles (red points) lie on two different lines (orange), four poles on each (not all of which are visible in the section above).    At this point I don't know how this may help you. Perhaps the most valuable property here might be the fact that the line joining the poles of  PQ  is concurrent with the lines  PS  and  QR . Since  R  and  S  are complex in your setup, that does not lead to an obvious construction, but it might help with a proof for your second question. The fact that you have to match things correctly may make an algebraic proof somewhat complicated, though.  	0.9640804529190063
80865	To prove the stated inequality (for normalized measure spaces): Let  X  be a finite measure space and  q \le p . We have using Hölder for  f \in L^p  \begin{align*}    \|f\|_q &= \bigl\||f|^q\bigr\|_1^{1/q}\\\            &= \bigl\|1 \cdot |f|^q\bigr\|_1^{1/q}\\\            &= \|1\|_{p/(p-q)} \bigl\||f|^q\bigr\|_{p/q}^{1/q}\\\            &= \mu(X)^{(p-q)/p} \|f\|_p \end{align*} If  \mu  is normalized, i. e.  \mu(X) = 1  (for example in  [0,1]  or  \mathbb T  with normalized arclength), then  \|f\|_q \le \|f\|_p  for every  q \le p . especially  \|f\|_{p-1} \le \|f\|_p .  	0.964065670967102
371638	We will define  5^k  as follows:   5^0  will mean 1, and if  i  is a positive integer,  5^i  will mean  5\cdot5^{i-1} .    Then we let  \Phi(k)  be the statement  a_k = 5^{k-1} .  We want to show that  \Phi(k)  holds for all  k\ge 1 , and we proceed by induction.    The base case is  \Phi(1) , the statement that  a_1 = 5^0 .  Since  a_1  and  5^0  are both defined to be 1, they are equal.    For the inductive step we suppose that  \Phi(k)  is already known to be true and we want to prove that  \Phi(k+1)  is true.  That is, we suppose  a_k = 5^{k-1}.  Multiplying both sides of this equation by 5, we obtain  5a_k = 5\cdot5^{k-1}.   The left side is equal to  a_{k+1}  by the definition we were given for the sequence, and the right side is equal to  5^k  by the definition we adopted for  5^k .  So substituting equals for equals we have  a_{k+1} = 5^k  which is precisely  \Phi(k+1) , and we are done.  	0.9624617099761963
