pid	doc	score
729924	Let  A  be some  m \times n  real matrix. Let  \|A\|_1  be the  maximim absolute column sum norm ,  \|A \|_\infty  be the  maximim absolute row sum norm  and  \|A \|_2 = \sigma_{\max}  be the  2-norm  or  spectral norm  ( \sigma_{\max}  is the maximum singular value). We have the following fundamental inequalities:  (i) \quad \frac{1}{\sqrt{n}} \|A \|_\infty \leq \|A \|_2 \leq \sqrt{m} \|A \|_\infty   (ii) \quad \frac{1}{\sqrt{m}} \|A \|_1 \leq \|A \|_2 \leq \sqrt{n} \|A \|_1    \|A \|_2 \leq \sqrt{\|A \|_1 \|A \|_\infty} \quad (\text{some kind of Hölder's inequality}) .    So we see that if you impose additionally that also  \|A \|_\infty \leq 1  (i.e. row sum is also small) then your assertion holds.    However it's easy to construct (quadratic) matrices with small column sum but big row sum (and vice versa). And inequality  (i)  (or  (ii)  whatever you are starting with) forces the largest singular value to be big. More precisely the following matrix   \begin{pmatrix} 0.99 & 0.99 & 0.99\\ 0 & 0 & 0\\ 0 & 0 & 0\\ \end{pmatrix}   fulfilles your condition but has singular value  1.71473 .  	0.8672550320625305
268532	You can use simply the fact that  \|x\|_2\leq\|x\|_1\leq\sqrt{n}\|x\|_2  to get (upper bound in the numerator, lower bound in the denominator):   \|A\|_1=\max_{x\neq 0}\frac{\|Ax\|_1}{\|x\|_1} \leq \max_{x\neq 0}\frac{\sqrt{m}\|Ax\|_2}{\|x\|_2} = \sqrt{m}\|A\|_2.   Similarly for the other:   \|A\|_2=\max_{x\neq 0}\frac{\|Ax\|_2}{\|x\|_2} \leq  \max_{x\neq 0}\frac{\|Ax\|_1}{(\sqrt{n})^{-1}\|x\|_1} = \sqrt{n}\|A\|_1.   Hence   \frac{1}{\sqrt{n}}\|A\|_2\leq\|A\|_1\leq\sqrt{m}\|A\|_2.     The constants  \alpha=\frac{1}{\sqrt{n}}  and  \beta=\sqrt{m}  are  best  in the sense that they are the tightest constants such that the bounds hold for  all  matrices, that is, there exist matrices  A_{\alpha}  and  A_{\beta}  for which one of the bounds is attained:  \frac{1}{\sqrt{n}}\|A_{\alpha}\|_2=\|A_{\alpha}\|_1  and  \|A_{\beta}\|_1=\sqrt{m}\|A_{\beta}\|_2 . These matrices can be, e.g.:   A_{\alpha}=\begin{bmatrix} 1 & 1 & \cdots & 1 \\ 0 & 0 & \cdots & 0 \\ \vdots & \vdots & \vdots & \vdots \\ 0 & 0 & \cdots & 0 \end{bmatrix}, \qquad A_{\beta}=\begin{bmatrix} 1 & 0 & \cdots & 0 \\ 1 & 0 & \cdots & 0 \\ \vdots & \vdots & \vdots & \vdots \\ 1 & 0 & \cdots & 0  \end{bmatrix}.   	0.8651958703994751
467852	Assuming  A\in\mathbb{C}^{n\times n}  with columns  a_1,\ldots,a_n  and that you already know the  equivalence constants for vector  p -norms :      For  \|A\|_{\infty}\leq\sqrt{n}\|A\|_2 : We have for all  x\in\mathbb{C}^n ,  \|x\|_{\infty}\leq\|x\|_2\leq\sqrt{n}\|x\|_{\infty} , so   \|A\|_{\infty}=\max_{x\neq 0}\frac{\|Ax\|_{\infty}}{\|x\|_{\infty}} \leq\max_{x\neq 0}\frac{\|Ax\|_2}{\frac{1}{\sqrt{n}}\|x\|_2}=\sqrt{n}\max_{x\neq 0}\frac{\|Ax\|_2}{\|x\|_2}=\sqrt{n}\|A\|_2.   In fact, all equivalence relations for matrix  p -norms can be derived from the related equivalence relations for the vector  p -norms and using simply the definition of the operator norm.   For  \|A\|_F\leq\sqrt{n}\|A\|_2 :   \|A\|_F^2=\sum_{i=1}^n\|a_i\|_2^2=\sum_{i=1}^n\|Ae_i\|_2^2\leq\sum_{i=1}^n\|A\|_2^2\|e_i\|_2^2=n\|A\|_2^2.   The bound can be improved if the rank  r  of  A  is smaller than  n  by realizing that   \|A\|_F^2=\mathrm{trace}(A^*A)\leq r\rho(A^*A)=r\|A\|_2^2,   where we used the fact that the trace is equal to the sum of the eigenvalues, which, if  r=\mathrm{rank}(A) , contains only  r  nonzero terms. Hence  \|A\|_F\leq\sqrt{\mathrm{rank}(A)}\|A\|_2 .   For  \|A\|_F\leq\sqrt{n}\|A\|_1 : Using the fact that  \|a_i\|_2\leq\|a_i\|_1  and that  \|a_i\|_1\leq\|A\|_1  for all  i=1,\ldots,n ,    \|A\|_F^2=\sum_{i=1}^n\|a_i\|_2^2\leq\sum_{i=1}^n\|a_i\|_1^2\leq n\|A\|_1^2.     	0.8600489497184753
761684	I prove the special case  p=q=2 :    (1) Continuity of  T_{a}\colon L^2\to L^2, u\mapsto T_a(u):=a u  is equivalent to  \|a\|_{L^\infty}<\infty . (The direction that we need is trivial. The other one is not much harder)    (2) Assume we had  \|a\|_{L^\infty}=\infty . Take disjoint sets  A_n ,  n\in\mathbb{N} , such that  |a|>2^{n}  on  A_n  and  |A_n|\leq 1 . Define  u:=\sum \frac{1}{2^n\sqrt{|A_n|}}1_{A_n} . Then  \|u\|_{L^2}\leq \sum \frac{1}{2^n\sqrt{|A_n|}}\| 1_{A_n}\|_{L^2}\leq \sum 1/2^n=1 . But  \|au\|^2_{L^2}=\sum \int_{A^n}\frac{|a|^2}{2^{2n}|A_n|}\geq \sum 1=\infty , in contradiction to the assumption.  	0.8514751195907593
776275	If  a = \{a_n\} \in \ell^\infty , then  \|a\| = \sup\{|a_n|\} . Now   \begin{align}|f(a)| &=  \left|\sum_{n=0}^\infty \frac{(-1)^na_{n+1}}{\sqrt{n!}}\right| \\&\le \sum_{n=0}^\infty \frac{|a_{n+1}|}{\sqrt{n!}}\\&\le \sum_{n=0}^\infty \frac{\|a\|}{\sqrt{n!}} = M\|a\|\end{align}  where according to Wolfram Alpha  M \approx 3.46951  (maybe someone knows a closed form for this value, but I don't).  \sum_{n=0}^\infty (n!)^{-1/2}  can be proven to converge by the ratio test.    Obviously when  a = (1, -1, 1, -1, \ldots)  we have  |f(a)| = M\|a\| . Therefore  \|f\| = M .  	0.8433781266212463
543962	"The matrix  p -norm is the operator norm:   \|A\|_p=\max_{x\neq 0}\frac{\|Ax\|_p}{\|x\|_p}. \tag{1}   The fact that   \tag{2} \|A\|_2=\rho(A^*A)\quad\text{and}\quad\|A\|_{\infty}=\max_i\sum_j|a_{ij}|   is just the consequence of (1). The  2 -norm and  \infty -norm satisfy   \tag{3} \|x\|_{\infty}\leq\|x\|_2\leq\sqrt{n}\|x\|_{\infty}   for any  n -vector  x  and the fact that  \|A\|_2\leq\sqrt{n}\|A\|_{\infty}  follows by plugging (3) to (1):   \|A\|_2=\max_{x\neq 0}\frac{\|Ax\|_2}{\|x\|_2}\leq \max_{x\neq 0}\frac{\sqrt{n}\|Ax\|_\infty}{\|x\|_2} \leq \max_{x\neq 0}\frac{\sqrt{n}\|Ax\|_\infty}{\|x\|_{\infty}}=\sqrt{n}\|A\|_{\infty}.     Assuming that you know nothing about (1) and take (2) as the definitions (such an approach in a class is a bit odd because it makes showing a lot of things quite complicated), you can proceed as follows:      You show that the matrix  \infty -norm is consistent with the vector  \infty -norm, that is,   \tag{4}\|Ax\|_\infty\leq\|A\|_\infty\|x\|_\infty   holds for all vectors  x . You can see that this is a trivial consequence of (1) but since you do not know about (1) you need to do it ""by hand"".   From (4), you have that  \|A\|_2^2=\rho(A^TA)\leq\|A^TA\|_\infty . Since there is an eigenvector  x  and an eigenvalue  \lambda  of  A^TA  such that  \lambda=\rho(A^TA)  (yes, all eigenvalues of  A^TA  are nonnegative but that is not important here),  A^TAx=\lambda x  gives us that  \|\lambda x\|_{\infty}=\|A^TAx\|_\infty  and hence   \lambda\|x\|_\infty=\|A^TAx\|_\infty\stackrel{(4)}\leq\|A^TA\|_\infty\|x\|_\infty,   which by cancelling the  \|x\|_\infty  gives  \rho(A^TA)=\lambda\leq\|A^TA\|_\infty .   Finally, one must show that  \|A^TA\|_\infty\leq n\|A\|_\infty^2 . This is easy:   \begin{split} \|A^TA\|_\infty&=\max_i\sum_j|(A^TA)_{ij}| =\max_i\sum_j\left|\sum_ka_{ik}a_{kj}\right| \leq \max_i\sum_j\sum_k\left|a_{ik}a_{kj}\right| \\& \leq\color{red}{\max_{i,j}|a_{ij}|} \color{blue}{\max_i\sum_j\sum_k\left|a_{ik}\right|}. \end{split}   In the last inequality, we bounded  |a_{kj}|  by the maximum over the absolute values of all entries in  A  (which is clearly OK). Now the red term can be bounded from above by  \|A\|_{\infty} , while the blue term equals  n\|A\|_\infty  (notice the terms in the sum over  j  no longer depend on  j ). Hence, indeed,  \|A^TA\|_\infty\leq n\|A\|_\infty^2  which together with the result of Item 2 gives   \|A\|_2^2=\rho(A^TA)\leq\|A^TA\|_\infty\leq n\|A\|_\infty^2.     "	0.8298523426055908
548646	We can get a quick bound on the operators by using some straighforward inequalities. Call our operator  T . Then  \|T\| = \sup_{\|x_n\|_\infty = 1} \|Tx\|_2 .    Take  \{ x_n \} \in l^\infty  and suppose that  \|x_n\|_\infty = 1 . We can see that  \| Tx_n \| = \sqrt{ \sum_{n=1}^\infty \frac{|x_n|^2}{n^2} } \le \left(\sup_n |x_n|\right) \sqrt{\sum_{n=1}^\infty \frac1{n^2}}=1 \cdot \pi/\sqrt{6}.    Thus  \|T\| \le \pi/\sqrt{6} , and we see that this is actually achieved when  x_n \equiv 1 . Thus  \|T\|=\pi/\sqrt{6} .    A similar analysis will give you the answer to the second question.  	0.8271564841270447
227083	If you've established a few basic properties (subadditivity, submultiplicativity, and continuity) of the norm, you can do it without having to bring in the  \sup  manipulation. Namely, for any  n , we have by subadditivity of the norm that   \| I+A+\frac{A^2}{2!}+\cdots +\frac{A^n}{n!} \| \leq \| I\| + \|A\|+\|\frac{A^2}{2!}\|+\cdots +\|\frac{A^n}{n!} \|    Then since we know  \| A^2\| \leq \| A\|^2 , we can pull all the exponents out:     \| I\| + \|A\|+\|\frac{A^2}{2!}\|+\cdots +\|\frac{A^n}{n!} \|  \leq \| I\| + \|A\|+\frac{1}{2!} \|A\|^2 +\cdots +\frac{1}{n!} \|A \|^n    Then since the norm is a continuous function, we can actually pass onto the limit as  n\to \infty  of the above inequality, and obtain   \|e^A \| = \|I+A+\cdots \| \leq \| I\| + \|A\|+\frac{1}{2!} \|A\|^2 +\cdots +\frac{1}{n!} \|A \|^n + \cdots = e^{\| A\|}   	0.8254461884498596
1101458	\begin{align*} |Tx(s)|&=|s|\left|\int_{0}^{a}x(t)dt\right|\leq|s|\int_{0}^{a}\|x\|_{\infty}dt\leq|a|\|x\|_{\infty}|a|=|a|^{2}\|x\|_{\infty}, \end{align*} so  \|Tx\|_{\infty}\leq|a|^{2}\|x\|_{\infty} , hence  \|T\|\leq|a|^{2} . Now put  x=\dfrac{a}{|a|} , then  T(a/|a|)(s)=s\displaystyle\int_{0}^{a}\dfrac{a}{|a|}dt=s|a| , and  \|T(a/|a|)\|_{\infty}=|a|^{2} , so  \|T\|=|a|^{2} .  	0.8228094577789307
1023020	\sigma_\text{min}\|x\|_2=\frac{\|x\|_2}{\|A^{-1}\|_2}=\frac{\|A^{-1}Ax\|_2}{\|A^{-1}\|_2}\leq\frac{\|A^{-1}\|_2\|Ax\|_2}{\|A^{-1}\|_2}=\|Ax\|_2    When  A  is singular its smallest singular value is zero and thus the inequality is trivial this case.  	0.8223761916160583
